№;Тип тесту;Назва тесту;Опис тесту;Кроки виконання;Очікуваний результат;Фактичний результат;Статус
1;Unit;Форматування температури (C);Перевірка функції convertTemperature з Celsius;1. Викликати convertTemperature(25) з unit=C 2. Перевірити що повернуло 25;Повертає 25;25;Passed
2;Unit;Форматування температури (F);Перевірка конвертації з Celsius в Fahrenheit;1. Викликати convertTemperature(0) з unit=F 2. Перевірити що повернуло 32;Повертає 32;32;Passed
3;Unit;Обробка відповіді API (валідна);Парсинг JSON від Open-Meteo з усіма полями;1. Створити mock відповідь з current_weather, hourly, daily 2. Перевірити що всі поля розпарсились;Всі поля мають коректні значення, помилок немає;Всі поля заповнені, тип WeatherData валідний;Passed
4;Unit;Обробка відповіді API (порожня);Парсинг порожньої відповіді без даних;1. Створити mock з {} 2. Перевірити що застосунок не падає;WeatherData містить undefined/null поля, fallback значення;Показано 0°C, "☁️", немає помилки;Passed
5;Unit;Кешування даних;Перевірка функцій saveWeatherCache / loadWeatherCache;1. Зберегти тестові дані в кеш 2. Завантажити кеш з тими ж координатами 3. Завантажити кеш з іншими координатами;Повертає дані для тих самих координат, null для інших;Кеш працює, TTL 30 хв дотримується;Passed
6;UI;Відображення поточної погоди;Головний екран з температурою, іконкою та містом;1. Відкрити додаток з валідними координатами 2. Дочекатись завантаження;Відображається назва міста, температура, опис, іконка;Всі елементи присутні, шрифти коректні;Passed
7;UI;Кнопки навігації;Перевірка кнопок пошуку, налаштувань та локації;1. Перевірити наявність кнопки пошуку (🔍) 2. Перевірити наявність кнопки налаштувань (⚙️) 3. Перевірити наявність кнопки локації (📍);Три кнопки відображаються в шапці, реагують на натискання;Всі кнопки є, працюють, мають правильні іконки;Passed
8;UI;Темна та світла тема;Перевірка перемикання теми в налаштуваннях;1. Відкрити налаштування 2. Натиснути "Світла тема" 3. Повернутись на головний екран;Фон стає білим/світлим, текст темним;Тема перемикається миттєво без перезавантаження;Passed
9;UI;Екран вітання;Відображення welcome екрану при першому запуску;1. Очистити дані додатку 2. Запустити додаток;Відображається лого, назва "raindji", кнопки "Пошук" та "Моє місцезнаходження";Екран вітання коректний, кнопки працюють;Passed
10;UI;Прогноз на 7 днів;Відображення денного прогнозу з макс/мін температурою;1. Дочекатись завантаження погоди 2. Прокрутити до списку днів;7 днів з назвою, іконкою, ↑макс та ↓мін температурою;Всі дні відображаються, вибраний день підсвічується;Passed
11;Integration;Запит до Open-Meteo + відображення;Реальний виклик API та рендер даних на екрані;1. Ввести координати 50.45, 30.52 (Київ) 2. Дочекатись відповіді API 3. Перевірити GUI;Відображається "Київ", поточна температура, вологість, вітер, тиск;Дані збігаються з API, GUI оновлений;Passed
12;Integration;Геокодування + погода;Пошук міста → отримання координат → запит погоди;1. Ввести "Львів" у пошуку 2. Вибрати перший результат 3. Дочекатись завантаження;Відображається погода для Львова, назва міста коректна;Львів знайдено, погода завантажена;Passed
13;Integration;Reverse геокодування + погода;GPS координати → назва міста → погода;1. Натиснути "Моє місцезнаходження" 2. Дочекатись геопозиції 3. Дочекатись погоди;Відображається назва населеного пункту + погода;Місто визначено, погода завантажена;Passed
14;Integration;Кеш + офлайн;Завантаження кешованих даних при відсутності мережі;1. Завантажити погоду онлайн 2. Вимкнути інтернет 3. Змінити місто і натиснути "Пошук";Показується кешована погода, помилка мережі не з'являється;Кеш завантажено, користувач бачить останні дані;Passed
15;Integration;Сповіщення + DAILY тригер;Планування щоденних сповіщень через DAILY тригер;1. Увімкнути сповіщення в налаштуваннях 2. Додати час 08:00 3. Повернутись на головний екран;Сповіщення заплановано на 08:00 щодня;Сповіщення з'явилось о 08:00;Passed
16;Manual;Зміна міста через пошук;Користувач шукає інше місто і бачить нову погоду;1. Натиснути 🔍 2. Ввести "Одеса" 3. Вибрати результат 4. Дочекатись завантаження;Відображається погода для Одеси, назва міста змінена;Погода оновилась, місто відображається коректно;Passed
17;Manual;Українське село в пошуку;Пошук маленького населеного пункту українською;1. Натиснути 🔍 2. Ввести "Пилипець" 3. Перевірити результати;Село знайдено, назва кирилицею;Пилипець відображається коректно;Passed
18;Manual;Відсутність інтернету;Користувач відкриває додаток без мережі;1. Вимкнути Wi-Fi / мобільні дані 2. Запустити додаток 3. Дочекатись результату;Якщо є кеш — показати кешовані дані. Якщо ні — помилка "Помилка мережі" з кнопкою "Повторити";Показано помилку + кнопка повтору, додаток не падає;Passed
19;Manual;Помилка API (невалідні координати);Введення неправильних координат (lat/lon поза діапазоном);1. Відкрити додаток з параметрами lat=999, lon=999 2. Дочекатись відповіді;API повертає помилку, додаток показує повідомлення про помилку з кнопкою повтору;Помилку оброблено, GUI не зламався;Failed
20;Manual;Зміна одиниць вимірювання;Перемикання °C ↔ °F та км/год ↔ м/с;1. Відкрити налаштування 2. Перемкнути температуру на °F 3. Перемкнути вітер на м/с 4. Повернутись на головний екран;Температура в °F, вітер в м/с, значення конвертовані коректно;Всі значення перераховані, юніти оновлені;Passed
